source,target,value
0,1,2.7625928327001947
0,2,2.192949421759849
3,4,0.2921845534176182
3,5,1.62972779439996
3,6,1.825977238867349
3,7,0.1775610427878771
3,8,2.9869803481596957
3,9,2.3831346351332883
3,10,0.11810624122365887
3,11,0.1160344339945496
3,12,0.907571571854282
3,13,0.3079834848129792
3,14,2.5161877517532183
3,15,1.1335419006797132
3,16,2.2085470896837656
3,17,1.5743116531130585
3,18,1.5315174479335614
3,19,1.4409087767641715
3,20,2.6368159695155935
3,21,2.1183661670154397
3,22,0.26893961312390857
3,23,0.44721902065947283
24,25,2.2802990556514136
24,26,2.8185330973518052
24,27,1.6814754683625033
24,28,2.692912842379158
24,29,2.613248568507087
24,30,2.5358128252117584
4,5,1.4940858346845776
4,6,1.0354308236004695
4,7,0.24295326528700478
4,31,2.719227080811848
4,9,1.8911202037819042
4,10,0.24899306166781265
4,11,0.16173915568185038
4,12,1.1696873098576699
4,13,0.49864039252556225
4,32,2.59055860432178
4,15,0.6751472617771981
4,17,1.0605649198769385
4,18,2.3207265839231273
4,19,2.305483866494873
4,20,2.676798731370278
4,21,2.289210734784941
4,22,0.9754497889236102
4,23,0.7001657943639383
33,34,1.5276285094822928
35,36,0.8458649151277253
35,37,1.5136359966438917
35,38,2.0381648245637596
35,39,1.7872678872843384
35,40,2.6899067004459987
35,41,2.036698344485277
35,16,2.0291852852505343
35,42,1.5154180228449388
35,18,2.776273337579127
35,19,2.746539938676129
35,43,1.8219392840690407
35,44,0.4736893952406174
45,46,1.1203578763985256
45,47,2.1445091618366163
45,48,2.3008656651868353
45,49,0.7418204131603989
50,8,2.3310741463544726
5,7,1.680657328523294
5,8,2.175954545838854
5,9,0.5054603403364943
5,10,1.0030551197426352
5,11,1.9789204340414646
5,12,0.5946298154280161
5,51,1.4356309803187361
5,52,2.626512546592963
5,13,2.1555391096883536
5,16,1.5393225103677022
5,53,2.379020300505852
5,42,1.6847573845468755
5,17,0.5282032891884558
5,28,2.4521984283876197
5,18,1.3362159516516758
5,19,1.814614534597636
5,21,0.9419892896567195
5,22,1.5756370004982312
5,43,2.0229534463378496
5,30,1.3771989908861748
5,23,2.47430505949664
36,37,2.699485658320677
36,38,1.5631522642323148
36,39,0.5075350363969999
36,41,2.165040547491559
36,54,2.4222075277080535
36,42,1.470118268103171
36,43,0.9930609431585413
36,44,2.1118613031201328
55,56,2.8620750512242665
55,27,2.8225225173594826
6,7,1.7486178349490622
6,31,0.6657087276351614
6,10,2.038133330265479
6,11,1.1596133108848772
6,13,1.8437110278879398
6,47,2.0483092338641207
6,15,0.16068683198589007
6,23,1.7926956824332319
37,38,1.5420738867122363
37,40,1.7542725982166996
37,12,1.7551936884818709
37,57,1.9967595389625004
37,14,2.1922253238659817
37,16,1.1608994264966643
37,42,0.8318362315129502
37,18,1.3818627190720356
37,19,0.7160569858910559
37,58,0.3879256405525666
37,20,1.4236361965769273
37,21,1.4466763376053127
37,22,2.6374741819368275
37,43,1.8172718706355173
37,44,1.5330598115348426
7,9,1.8700540112692732
7,10,0.2530555729207684
7,11,0.28501725268692546
7,12,0.7151861855259067
7,13,0.16823830983891952
7,15,1.1434446225611072
7,16,2.399922743522298
7,17,1.190927528451624
7,18,1.740946795272258
7,19,1.393129494123846
7,58,2.633493785133556
7,20,1.6185824206749189
7,21,1.6205713308259373
7,22,0.5886027631130109
7,23,0.5328190156794754
59,60,2.8735199908147546
59,9,2.7656046211621543
59,51,1.7714205749841394
59,32,1.9190227886511924
59,61,1.1466991243258562
59,53,1.6494153810397982
59,17,2.3960709867310026
59,30,2.823213872976682
38,39,1.7501528854746429
38,62,2.0230136927923414
38,41,1.860894728744622
38,42,1.6023695300293461
38,58,1.8326623496744965
38,21,2.6212166601258247
38,43,1.9189382201445504
31,47,1.2316688829161482
31,49,2.964470521856777
31,15,1.4526955737304004
60,63,2.4067105076663875
60,46,2.0328203128761047
60,53,1.9076961598030184
60,34,2.124276276322945
8,10,2.5850714733488545
8,12,2.4400129159452
8,14,1.3871233110640535
8,16,1.084292382973473
8,42,1.9344738564974762
8,18,1.1164090515602965
8,19,1.9283772989164838
8,22,1.7393933631582037
8,43,1.8317825544911237
25,64,1.9826182197857367
25,65,0.5536407131545573
25,66,2.9040760661624976
25,28,1.7034513253177952
25,67,2.846473917910153
25,30,2.094792529481193
39,40,2.987342592875031
39,54,0.9940548500952939
39,42,2.1596475522589476
39,43,1.5377804175775722
39,44,2.5695924364654843
40,57,2.7869373637112727
40,14,2.0040110952534995
40,19,2.4846560957969555
40,58,2.951748589172798
40,44,1.3946041619661287
9,10,1.760707308525733
9,11,2.6622472379067563
9,12,0.6941369934787556
9,62,2.2415430084221644
9,65,2.4309337522687713
9,51,0.3017273522454289
9,13,2.5896704070527132
9,32,2.999536710693862
9,16,2.6070341693607
9,53,0.8395764026358776
9,42,2.0108098293281085
9,17,0.18149702098679832
9,28,0.9396814457485192
9,18,2.4153031274976033
9,19,2.4228509607049364
9,58,2.6363062635781365
9,20,1.9544664367665554
9,21,0.4980197163606537
9,22,2.6524314397669
9,43,2.5404606333079283
9,30,1.0449376841592528
10,11,0.2968712665751827
10,12,0.6476877613936782
10,13,0.34310206821541733
10,14,2.5141378060467012
10,15,1.4749971516392346
10,16,1.6749771257440482
10,42,2.9520069716837405
10,17,1.1643811987116504
10,18,1.1040722349520138
10,19,1.2043150370444344
10,20,2.4181395153877183
10,21,1.706902399909449
10,22,0.29022349311791373
10,23,0.4315544273147953
11,12,1.3960488804776183
11,13,0.5397363985770731
11,32,2.6014612275215843
11,15,0.5872631504288961
11,17,1.637174158647392
11,18,2.4129238796155583
11,19,2.3398070488578337
11,21,2.752732284805326
11,22,0.7210721287120858
11,23,0.686806940753959
64,62,2.9006734122583033
64,51,2.970611482139285
64,26,2.0973635915200184
64,68,2.163151673375552
64,28,1.50925801910895
63,62,2.8789027062214867
63,53,2.67143719590468
63,68,2.8563481749177555
63,69,2.6680117300259543
63,20,2.883579570073236
63,34,1.9596807640209768
56,27,1.4568691147609503
12,62,2.547211271632932
12,51,1.782347042679211
12,13,1.0555019170765956
12,14,2.6660499982178454
12,16,1.0939826085831772
12,53,2.1559959613282054
12,42,1.1582108193730623
12,17,0.6348302519099125
12,28,2.5323787648501295
12,18,0.8498476693796775
12,19,0.6768020006342468
12,58,1.4849617142798088
12,20,1.2598796145135704
12,21,0.27078015111925424
12,22,0.7807763200007312
12,43,1.883917232838872
12,30,2.8845800274779343
12,23,1.6111121816786422
62,65,2.2874814943996125
62,51,2.129700931334799
62,53,1.777403505288655
62,54,2.035950014797061
62,42,2.1369600820764223
62,17,2.9523064232295226
62,28,1.129563251111021
62,58,2.651347451884112
62,21,1.3860397173848238
62,43,2.0156101125878845
65,51,2.105886555767711
65,42,2.815766249556484
65,28,1.2347653116384638
65,21,2.899827919394804
65,43,2.188786127439446
65,30,0.8287223061609339
70,71,2.0971374007316967
72,47,2.623220033417528
72,49,2.8654045655474025
51,53,0.33682527593614786
51,17,0.6111914516970796
51,28,0.4002352311516244
51,20,2.7934677290963883
51,21,1.1798303627641449
51,30,0.8877505511761807
52,30,1.9570559275783328
46,49,1.3967307085605007
13,14,2.51806208561578
13,15,1.3622329409124223
13,16,2.0840489075979463
13,17,1.9464390275747423
13,18,1.4446331823958491
13,19,1.1371092757483936
13,58,2.602966730689271
13,20,1.6717933819265784
13,21,2.109686271412059
13,22,0.5067442476680561
13,23,0.14998025075430022
32,61,2.203902199152674
32,53,2.538445372679554
32,17,1.9348861165446873
57,69,2.876529897032354
57,58,1.493946586380579
57,20,2.49647191400193
47,48,1.0955119777056321
47,49,1.8130069859800813
47,73,2.7779533608995877
14,16,1.0042143264621384
14,42,2.531264565170943
14,18,0.8919226442316575
14,19,0.942539396163733
14,22,1.173715869412506
14,44,2.2872047715438715
14,23,2.2501705827104868
66,67,2.1255707740219787
61,30,2.2569785369541684
15,22,2.4003743613565387
15,23,1.4401748777648216
16,42,0.6543214117826768
16,17,2.9379791670458566
16,18,0.06901765471245547
16,19,0.3188851794411196
16,58,2.0354595357330307
16,20,2.6795809109669833
16,21,1.5224306930428089
16,22,1.1147345680739829
16,43,1.321402050230569
16,44,2.488452386062434
16,23,2.1057891365028336
53,17,0.9208977864971768
53,28,0.6656799784454659
53,20,2.8950302007335615
53,21,1.509893321984812
53,30,2.0409574403368325
54,43,2.272002054902744
42,17,2.740717606838361
42,28,2.9301819199123447
42,18,0.9613813268960492
42,19,0.9576928001098217
42,58,1.4815456597072618
42,20,2.510275469895795
42,21,0.8387261907916166
42,22,2.4310792596149433
42,43,0.24757335167824301
42,44,2.4785589460007973
68,34,2.2925570851672905
27,74,2.1306807447396547
27,29,2.5715390702907293
17,28,1.687275383362996
17,18,2.535619341319517
17,19,2.517373962823699
17,20,2.1367713178988
17,21,0.7980090572945464
17,22,2.115556875766922
17,30,1.703068374022676
17,23,2.667461306953278
28,21,1.3619005128484574
28,30,1.1462822812535745
75,76,2.759849694612404
69,20,2.186138265790616
18,19,0.21666803854292205
18,58,2.08394252753763
18,20,2.451421211543403
18,21,1.4661011004157842
18,22,0.6551160059709016
18,43,1.750303889177518
18,23,1.4338990913387306
19,58,1.1120233713857175
19,20,1.487190059001886
19,21,1.1235424058642085
19,22,0.6583346980104654
19,43,1.959954801654673
19,44,2.7143710662080878
19,23,1.381403352298527
58,20,0.4234447611239922
58,21,1.017289115118336
58,22,2.873530186905393
58,43,2.7408868735823155
20,21,1.0148274982491046
20,22,2.624306423036904
20,23,2.6028596438110174
21,22,1.9005549542172595
21,43,1.4515246410284899
21,30,2.2741499799860954
21,23,2.971559501872001
22,23,0.531072853715564
43,30,2.9495386617828245
