name,group,3P%
Cole Aldrich,0,0.0
Omer Asik,0,0.0
Jakob Poeltl,0,0.0
Chris Andersen,0,0.0
Joel Anthony,0,0.0
Anthony Brown,0,0.259
Rakeem Christmas,0,0.0
Nick Collison,0,0.0
Henry Ellenson,0,0.28600000000000003
Treveon Graham,0,0.6
A.J. Hammons,0,0.5
Udonis Haslem,0,0.0
Ryan Kelly,0,0.4
Jordan Mickey,0,0.0
Adreian Payne,0,0.2
Marshall Plumlee,0,0.0
Alex Poythress,0,0.316
Mike Scott,0,0.14800000000000002
Jared Sullinger,0,0.16699999999999998
Jarrod Uthoff,0,0.33299999999999996
Briante Weber,0,0.1
C.J. Wilcox,0,0.2
Christian Wood,0,0.0
Stephen Zimmerman,0,0.0
Alan Anderson,0,0.318
Bryn Forbes,0,0.321
Raul Neto,0,0.32299999999999995
Damjan Rudez,0,0.313
Wayne Selden,0,0.25
Sasha Vujacic,0,0.311
James Young,0,0.34299999999999997
Deyonta Davis,0,0.0
Mike Miller,0,0.4
Wade Baldwin,0,0.136
Delon Wright,0,0.33299999999999996
Malik Beasley,0,0.321
Bobby Brown,0,0.4
Norris Cole,0,0.231
Quinn Cook,0,0.423
Jonathan Gibson,0,0.33299999999999996
Archie Goodwin,0,0.33299999999999996
Jordan McRae,0,0.353
Malachi Richardson,0,0.28600000000000003
Metta World,0,0.237
Joe Young,0,0.217
DeAndre' Bembry,0,0.055999999999999994
Josh McRoberts,0,0.419
Maurice Ndour,0,0.14300000000000002
Andrew Nicholson,0,0.185
David Nwaba,0,0.2
Anthony Bennett,0,0.271
Sheldon McClellan,0,0.233
K.J. McDaniels,0,0.303
Ronnie Price,0,0.17600000000000002
Chasson Randle,0,0.34
Reggie Bullock,0,0.384
James Jones,0,0.47
Dejounte Murray,0,0.391
Fred VanVleet,0,0.379
Pat Connaughton,0,0.515
Toney Douglas,0,0.16699999999999998
Paul Pierce,0,0.349
Nicolas Laprovittola,0,0.37
Marcelo Huertas,0,0.21100000000000002
Darrun Hilliard,0,0.261
Jake Layman,0,0.255
Cameron Payne,0,0.314
Marcus Thornton,0,0.35
Brian Roberts,0,0.386
Lance Stephenson,0,0.3
Kevon Looney,0,0.222
Jeff Withey,0,0.0
James Michael,0,0.25
Georgios Papagiannis,0,0.0
Rashad Vaughn,0,0.321
Kyle Singler,0,0.18899999999999997
Troy Williams,0,0.29
